time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
113581,-10.15,-4.4,0.34,0.0,0.03,-0.01,84.33,20.52,-0.78,-41.46,1.31
113582,-10.15,-4.4,0.34,0.0,0.03,-0.01,84.33,20.52,-0.78,-41.46,1.31
113583,-10.09,-4.37,0.02,0.0,0.01,-0.01,84.33,20.52,-0.78,-41.46,1.29
113584,-10.09,-4.37,0.02,0.0,0.01,-0.01,84.33,20.52,-0.78,-41.45,1.27
113585,-10.11,-4.48,0.01,0.0,0.01,-0.01,83.97,21.23,0.6,-41.44,1.25
113586,-10.11,-4.48,0.01,0.0,0.01,-0.01,83.97,21.23,0.6,-41.43,1.23
113587,-10.07,-4.62,0.19,0.0,0.02,0.0,83.97,21.23,0.6,-41.42,1.22
113588,-10.07,-4.62,0.19,0.0,0.02,0.0,83.97,21.23,0.6,-41.41,1.21
113589,-10.18,-4.55,0.07,0.0,0.01,0.0,83.97,21.23,0.6,-41.4,1.19
113590,-10.18,-4.55,0.07,0.0,0.01,0.0,83.97,21.23,0.6,-41.4,1.18
113591,-10.17,-4.34,-0.02,0.0,0.02,0.0,83.97,21.23,0.6,-41.41,1.14
113592,-10.17,-4.34,-0.02,0.0,0.02,0.0,83.97,21.23,0.6,-41.41,1.12
113593,-10.14,-4.43,0.35,0.0,0.04,0.0,83.97,21.23,0.6,-41.41,1.11
113594,-10.14,-4.43,0.35,0.0,0.04,0.0,83.97,21.23,0.6,-41.41,1.1
113595,-10.07,-4.59,0.35,0.0,0.01,0.0,83.97,21.23,0.6,-41.4,1.11
113596,-10.07,-4.59,0.35,0.0,0.01,0.0,83.97,21.23,0.6,-41.39,1.11
113597,-10.02,-4.55,-0.03,0.01,-0.01,0.0,85.95,21.41,1.47,-41.38,1.12
113598,-10.02,-4.55,-0.03,0.01,-0.01,0.0,85.95,21.41,1.47,-41.38,1.11
113599,-10.18,-4.38,-0.07,0.01,0.0,0.0,85.95,21.41,1.47,-41.38,1.1
113600,-10.18,-4.38,-0.07,0.01,0.0,0.0,85.95,21.41,1.47,-41.38,1.09
113601,-10.19,-4.54,0.2,0.0,0.03,0.0,85.95,21.41,1.47,-41.38,1.07
113602,-10.19,-4.54,0.2,0.0,0.03,0.0,85.95,21.41,1.47,-41.38,1.05
113603,-10.07,-4.63,0.5,0.0,0.02,0.0,85.95,21.41,1.47,-41.37,1.06
113604,-10.07,-4.63,0.5,0.0,0.02,0.0,85.95,21.41,1.47,-41.35,1.07
113605,-10.02,-4.51,0.23,0.01,-0.02,0.0,85.95,21.41,1.47,-41.35,1.09
113606,-10.02,-4.51,0.23,0.01,-0.02,0.0,85.95,21.41,1.47,-41.34,1.11
113607,-10.11,-4.36,-0.23,0.03,-0.04,0.0,85.95,21.41,1.47,-41.35,1.11
113608,-10.11,-4.36,-0.23,0.03,-0.04,0.0,85.95,21.41,1.47,-41.35,1.12
113609,-10.19,-4.41,-0.08,0.02,0.0,0.0,85.05,21.23,0.95,-41.35,1.11
113610,-10.19,-4.41,-0.08,0.02,0.0,0.0,85.05,21.23,0.95,-41.35,1.1
113611,-10.09,-4.48,0.33,0.0,0.03,0.0,85.05,21.23,0.95,-41.35,1.09
113612,-10.09,-4.48,0.33,0.0,0.03,0.0,85.05,21.23,0.95,-41.35,1.09
113613,-10.0,-4.47,0.28,0.0,0.02,0.0,85.05,21.23,0.95,-41.34,1.08
113614,-10.0,-4.47,0.28,0.0,0.02,0.0,85.05,21.23,0.95,-41.34,1.08
