time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
141992,-2.24,1.76,10.11,0.0,0.0,0.0,5.32,-11.38,6.5,-15.39,93.56
141993,-2.24,1.76,10.11,0.0,0.0,0.0,5.32,-11.38,6.5,-15.39,93.56
141994,-2.25,1.72,10.11,0.01,0.0,0.0,5.32,-11.38,6.5,-15.39,93.56
141995,-2.25,1.72,10.11,0.01,0.0,0.0,5.32,-11.38,6.5,-15.39,93.57
141996,-2.22,1.74,10.11,0.0,0.0,0.0,5.32,-11.38,6.5,-15.39,93.57
141997,-2.22,1.74,10.11,0.0,0.0,0.0,5.32,-11.38,6.5,-15.39,93.57
141998,-2.23,1.76,10.11,0.0,0.0,0.0,4.05,-10.48,7.36,-15.39,93.57
141999,-2.23,1.76,10.11,0.0,0.0,0.0,4.05,-10.48,7.36,-15.39,93.57
142000,-2.23,1.76,10.08,0.0,0.0,0.0,4.05,-10.48,7.36,-15.38,93.57
142001,-2.23,1.76,10.08,0.0,0.0,0.0,4.05,-10.48,7.36,-15.38,93.57
142002,-2.23,1.76,10.1,0.0,0.0,0.0,4.05,-10.48,7.36,-15.38,93.57
142003,-2.23,1.76,10.1,0.0,0.0,0.0,4.05,-10.48,7.36,-15.38,93.57
142004,-2.22,1.75,10.13,0.0,0.0,0.0,4.05,-10.48,7.36,-15.38,93.58
142005,-2.22,1.75,10.13,0.0,0.0,0.0,4.05,-10.48,7.36,-15.38,93.58
142006,-2.23,1.75,10.08,0.01,0.0,0.0,4.05,-10.48,7.36,-15.38,93.58
142007,-2.23,1.75,10.08,0.01,0.0,0.0,4.05,-10.48,7.36,-15.38,93.58
142008,-2.23,1.73,10.11,0.01,0.01,0.0,4.05,-10.48,7.36,-15.38,93.59
142009,-2.23,1.73,10.11,0.01,0.01,0.0,4.05,-10.48,7.36,-15.4,93.59
142010,-2.23,1.74,10.11,0.0,0.0,0.0,4.59,-10.66,6.5,-15.4,93.59
142011,-2.23,1.74,10.11,0.0,0.0,0.0,4.59,-10.66,6.5,-15.4,93.59
142012,-2.23,1.73,10.1,0.0,0.0,0.0,4.59,-10.66,6.5,-15.4,93.59
142013,-2.23,1.73,10.1,0.0,0.0,0.0,4.59,-10.66,6.5,-15.39,93.59
142014,-2.22,1.74,10.08,0.0,0.01,0.0,4.59,-10.66,6.5,-15.4,93.59
142015,-2.22,1.74,10.08,0.0,0.01,0.0,4.59,-10.66,6.5,-15.41,93.58
142016,-2.25,1.73,10.07,0.0,0.01,0.0,4.59,-10.66,6.5,-15.44,93.57
142017,-2.25,1.73,10.07,0.0,0.01,0.0,4.59,-10.66,6.5,-15.44,93.57
142018,-2.23,1.73,10.13,0.0,0.0,0.0,4.59,-10.66,6.5,-15.44,93.57
142019,-2.23,1.73,10.13,0.0,0.0,0.0,4.59,-10.66,6.5,-15.44,93.57
142020,-2.23,1.74,10.11,0.0,0.0,0.0,4.59,-10.66,6.5,-15.43,93.57
142021,-2.23,1.74,10.11,0.0,0.0,0.0,4.59,-10.66,6.5,-15.43,93.57
142022,-2.23,1.75,10.11,0.0,0.01,0.0,6.04,-8.86,8.58,-15.44,93.56
142023,-2.21,1.75,10.11,0.0,0.01,0.0,6.04,-8.86,8.58,-15.44,93.56
142024,-2.21,1.75,10.11,0.0,0.01,0.0,6.04,-8.86,8.58,-15.44,93.56
142025,-2.22,1.74,10.11,0.0,0.01,0.0,6.04,-8.86,8.58,-15.45,93.56
142026,-2.22,1.74,10.11,0.0,0.01,0.0,6.04,-8.86,8.58,-15.45,93.56
142027,-2.23,1.75,10.11,0.0,0.01,0.0,6.04,-8.86,8.58,-15.45,93.56
142028,-2.23,1.75,10.11,0.0,0.01,0.0,6.04,-8.86,8.58,-15.46,93.55
142029,-2.23,1.75,10.13,0.0,0.0,0.0,6.04,-8.86,8.58,-15.46,93.56
142030,-2.23,1.75,10.13,0.0,0.0,0.0,6.04,-8.86,8.58,-15.45,93.56
142031,-2.25,1.75,10.11,0.0,0.0,0.0,5.14,-9.76,7.02,-15.45,93.56
142032,-2.25,1.75,10.11,0.0,0.0,0.0,5.14,-9.76,7.02,-15.45,93.56
142033,-2.22,1.76,10.1,0.0,0.01,0.0,5.14,-9.76,7.02,-15.45,93.56
142034,-2.22,1.76,10.1,0.0,0.01,0.0,5.14,-9.76,7.02,-15.46,93.55
142035,-2.21,1.72,10.11,0.0,0.01,0.0,5.14,-9.76,7.02,-15.46,93.55
142036,-2.21,1.72,10.11,0.0,0.01,0.0,5.14,-9.76,7.02,-15.46,93.55
142037,-2.24,1.76,10.11,0.0,0.0,0.0,5.14,-9.76,7.02,-15.46,93.55
142038,-2.24,1.76,10.11,0.0,0.0,0.0,5.14,-9.76,7.02,-15.46,93.55
142039,-2.23,1.73,10.11,0.0,0.01,0.0,5.14,-9.76,7.02,-15.46,93.55
