user,activity,timestamp,x-axis,y-axis,z-axis
14,Downstairs,57651532330000,-0.61,5.41,-0.42
14,Downstairs,57651582348000,1.8,12.34,-4.94
14,Downstairs,57651632336000,6.59,18.89,2.98
14,Downstairs,57651682293000,0.42,12.87,3.6
14,Downstairs,57651732342000,2.72,6.09,-2.83
14,Downstairs,57651782330000,4.99,11.35,-3.91
14,Downstairs,57651832348000,5.52,10.46,8.47
14,Downstairs,57651882336000,6.85,8.35,10.92
14,Downstairs,57651932324000,0.99,10.84,-2.83
14,Downstairs,57651982342000,0.72,10.92,-8.58
14,Downstairs,57652032330000,-0.69,12.41,-0.65
14,Downstairs,57652082348000,-2.56,8.73,-0.8
14,Downstairs,57652132336000,-0.95,8.39,-0.76
14,Downstairs,57652182323000,3.26,8.24,2.76
14,Downstairs,57652232342000,10.08,11.96,7.78
14,Downstairs,57652282330000,4.75,1.5,1.38
14,Downstairs,57652332348000,0.93,14.6,-1.53
14,Downstairs,57652382336000,1.18,19.23,-5.05
14,Downstairs,57652432324000,4.4,5.52,3.72
14,Downstairs,57652482342000,6.17,6.93,-0.38
14,Downstairs,57652532360000,8.28,13.38,3.45
14,Downstairs,57652582378000,2.3,7.5,11.07
14,Downstairs,57652632336000,3.21,8.81,-10.31
14,Downstairs,57652702313000,2.68,8.81,-10.31
14,Downstairs,57652752270000,0.04,15.24,0.76
14,Downstairs,57652802349000,-2.6,11.22,1.84
14,Downstairs,57652852245000,4.52,12.91,3.15
14,Downstairs,57652902294000,8.31,11.45,6.89
14,Downstairs,57652952313000,2.11,2.87,2.64
14,Downstairs,57653002300000,-1.04,-0.8,-0.89
14,Downstairs,57653052319000,0.27,8.62,-1.38
14,Downstairs,57653102306000,9.19,19.53,-0.08
14,Downstairs,57653152294000,5.86,10.46,2.98
14,Downstairs,57653202313000,12.72,7.12,0.93
14,Downstairs,57653252300000,7.59,9.43,4.44
14,Downstairs,57653302319000,1.84,7.31,-0.72
14,Downstairs,57653352306000,0.5,7.06,-9.47
14,Downstairs,57653402294000,-0.46,11.5,-5.94
14,Downstairs,57653452313000,1.08,16.74,0.08
14,Downstairs,57653502300000,-1.14,9.62,-1.57
14,Downstairs,57653552319000,-0.46,12.76,9.0
14,Downstairs,57653602306000,9.04,13.91,7.67
14,Downstairs,57653652294000,4.4,4.1,4.37
14,Downstairs,57653702313000,2.49,0.27,1.42
14,Downstairs,57653752300000,2.76,10.53,-3.91
14,Downstairs,57653802319000,7.4,19.57,-8.24
14,Downstairs,57653852306000,4.9,12.18,-1.42
14,Downstairs,57653902294000,2.53,8.47,-0.99
14,Downstairs,57653952343000,1.88,12.34,-2.22
14,Downstairs,57654002514000,1.95,12.11,13.1
14,Downstairs,57654052319000,4.56,9.28,5.33
14,Downstairs,57654102306000,4.18,6.97,1.95
14,Downstairs,57654152294000,11.35,13.8,-5.94
14,Downstairs,57654202313000,17.62,15.4,-7.93
14,Downstairs,57654252300000,5.33,13.82,-9.11
14,Downstairs,57654302319000,-6.66,12.87,-0.72
