time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
339981,-8.78,-4.84,-0.63,0.0,-0.01,-0.02,53.66,35.03,20.8,-35.09,-5.41
339982,-8.78,-4.84,-0.63,0.0,-0.01,-0.02,53.66,35.03,20.8,-35.09,-5.4
339983,-8.77,-4.92,-0.96,0.01,-0.02,-0.01,53.66,35.03,20.8,-35.09,-5.4
339984,-8.77,-4.92,-0.96,0.01,-0.02,-0.01,53.66,35.03,20.8,-35.09,-5.4
339985,-8.71,-5.04,-0.77,0.01,0.01,0.0,53.84,37.0,20.97,-35.09,-5.4
339986,-8.71,-5.04,-0.77,0.01,0.01,0.0,53.84,37.0,20.97,-35.09,-5.4
339987,-8.61,-5.08,-0.62,0.01,0.03,0.0,53.84,37.0,20.97,-35.08,-5.4
339988,-8.61,-5.08,-0.62,0.01,0.03,0.0,53.84,37.0,20.97,-35.07,-5.41
339989,-8.61,-5.07,-0.68,0.01,0.01,0.0,53.84,37.0,20.97,-35.06,-5.4
339990,-8.61,-5.07,-0.68,0.01,0.01,0.0,53.84,37.0,20.97,-35.06,-5.4
339991,-8.6,-4.94,-0.69,0.01,0.0,0.0,53.84,37.0,20.97,-35.06,-5.39
339992,-8.6,-4.94,-0.69,0.01,0.0,0.0,53.84,37.0,20.97,-35.05,-5.37
339993,-8.65,-4.87,-0.79,0.01,-0.01,0.01,53.84,37.0,20.97,-35.06,-5.37
339994,-8.65,-4.87,-0.79,0.01,-0.01,0.01,53.84,37.0,20.97,-35.08,-5.36
339995,-8.68,-4.86,-0.73,0.01,-0.01,0.01,53.84,37.0,20.97,-35.09,-5.35
339996,-8.68,-4.86,-0.73,0.01,-0.01,0.01,53.84,37.0,20.97,-35.1,-5.34
339997,-8.6,-5.07,-0.84,0.01,0.0,0.01,53.48,35.21,21.32,-35.1,-5.34
339998,-8.6,-5.07,-0.84,0.01,0.0,0.01,53.48,35.21,21.32,-35.1,-5.34
339999,-8.56,-5.14,-0.66,0.0,0.01,0.0,53.48,35.21,21.32,-35.09,-5.34
340000,-8.56,-5.14,-0.66,0.0,0.01,0.0,53.48,35.21,21.32,-35.07,-5.34
340001,-8.61,-4.97,-0.47,0.0,0.01,0.0,53.48,35.21,21.32,-35.07,-5.32
340002,-8.61,-4.97,-0.47,0.0,0.01,0.0,53.48,35.21,21.32,-35.07,-5.29
340003,-8.67,-4.98,-0.71,0.01,-0.02,0.01,53.48,35.21,21.32,-35.08,-5.28
340004,-8.67,-4.98,-0.71,0.01,-0.02,0.01,53.48,35.21,21.32,-35.09,-5.25
340005,-8.71,-4.91,-0.82,0.01,-0.01,0.02,53.48,35.21,21.32,-35.1,-5.25
340006,-8.71,-4.91,-0.82,0.01,-0.01,0.02,53.48,35.21,21.32,-35.12,-5.24
340007,-8.63,-4.94,-0.76,0.0,0.0,0.02,53.48,35.21,21.32,-35.12,-5.24
340008,-8.63,-4.94,-0.76,0.0,0.0,0.02,53.48,35.21,21.32,-35.13,-5.24
340009,-8.51,-5.05,-0.82,0.0,0.0,0.02,54.74,36.47,22.19,-35.13,-5.25
340010,-8.51,-5.05,-0.82,0.0,0.0,0.02,54.74,36.47,22.19,-35.13,-5.26
340011,-8.49,-4.99,-0.64,0.0,0.0,0.01,54.74,36.47,22.19,-35.12,-5.24
340012,-8.49,-4.99,-0.64,0.0,0.0,0.01,54.74,36.47,22.19,-35.1,-5.22
340013,-8.55,-4.99,-0.82,0.01,0.0,0.0,54.74,36.47,22.19,-35.09,-5.22
340014,-8.55,-4.99,-0.82,0.01,0.0,0.0,54.74,36.47,22.19,-35.09,-5.23
340015,-8.61,-4.95,-0.81,0.0,0.01,0.0,54.74,36.47,22.19,-35.08,-5.24
340016,-8.61,-4.95,-0.81,0.0,0.01,0.0,54.74,36.47,22.19,-35.08,-5.26
340017,-8.58,-4.91,-0.54,0.0,0.01,0.0,54.74,36.47,22.19,-35.08,-5.23
340018,-8.58,-4.91,-0.54,0.0,0.01,0.0,54.74,36.47,22.19,-35.09,-5.21
340019,-8.64,-4.83,-0.51,0.0,-0.01,0.0,54.74,36.47,22.19,-35.1,-5.18
340020,-8.64,-4.83,-0.51,0.0,-0.01,0.0,54.74,36.47,22.19,-35.11,-5.14
340021,-8.73,-4.82,-0.77,0.01,-0.03,0.0,53.12,35.93,20.28,-35.12,-5.13
