time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
3241,-10.06,-4.62,-0.3,0.0,0.01,0.0,69.9,21.59,-0.43,-40.91,-2.49
3242,-10.06,-4.62,-0.3,0.0,0.01,0.0,69.9,21.59,-0.43,-40.9,-2.49
3243,-10.08,-4.51,-0.1,0.0,0.02,0.0,69.9,21.59,-0.43,-40.9,-2.49
3244,-10.08,-4.51,-0.1,0.0,0.02,0.0,69.9,21.59,-0.43,-40.9,-2.48
3245,-10.07,-4.45,-0.17,0.0,0.0,0.0,69.9,21.59,-0.43,-40.9,-2.47
3246,-10.07,-4.45,-0.17,0.0,0.0,0.0,69.9,21.59,-0.43,-40.91,-2.45
3247,-10.02,-4.51,-0.25,0.01,0.0,0.0,69.9,21.59,-0.43,-40.91,-2.44
3248,-10.02,-4.51,-0.25,0.01,0.0,0.0,69.9,21.59,-0.43,-40.9,-2.43
3249,-10.08,-4.53,-0.36,0.02,-0.01,0.0,69.0,21.77,-0.6,-40.9,-2.42
3250,-10.08,-4.53,-0.36,0.02,-0.01,0.0,69.0,21.77,-0.6,-40.9,-2.41
3251,-10.16,-4.46,-0.19,0.02,0.0,0.0,69.0,21.77,-0.6,-40.91,-2.39
3252,-10.13,-4.44,-0.33,0.02,0.0,0.0,69.0,21.77,-0.6,-40.91,-2.39
3253,-10.13,-4.44,-0.33,0.02,0.0,0.0,69.0,21.77,-0.6,-40.91,-2.38
3254,-10.08,-4.49,-0.39,0.02,0.0,0.0,69.0,21.77,-0.6,-40.91,-2.38
3255,-10.08,-4.49,-0.39,0.02,0.0,0.0,69.0,21.77,-0.6,-40.91,-2.37
3256,-10.06,-4.53,-0.39,0.01,0.02,0.0,69.0,21.77,-0.6,-40.91,-2.4
3257,-10.06,-4.53,-0.39,0.01,0.02,0.0,69.0,21.77,-0.6,-40.91,-2.41
3258,-10.03,-4.5,-0.2,0.0,0.03,0.0,69.0,21.77,-0.6,-40.91,-2.42
3259,-10.03,-4.5,-0.2,0.0,0.03,0.0,69.0,21.77,-0.6,-40.91,-2.43
3260,-10.05,-4.51,-0.12,0.0,0.01,0.0,69.54,20.87,-0.78,-40.9,-2.42
3261,-10.05,-4.51,-0.12,0.0,0.01,0.0,69.54,20.87,-0.78,-40.9,-2.41
3262,-10.09,-4.48,-0.35,0.02,-0.01,0.0,69.54,20.87,-0.78,-40.91,-2.39
3263,-10.11,-4.45,-0.46,0.02,-0.01,0.0,69.54,20.87,-0.78,-40.91,-2.39
3264,-10.11,-4.45,-0.46,0.02,-0.01,0.0,69.54,20.87,-0.78,-40.91,-2.38
3265,-10.1,-4.51,-0.4,0.0,0.01,0.0,69.54,20.87,-0.78,-40.91,-2.39
3266,-10.1,-4.51,-0.4,0.0,0.01,0.0,69.54,20.87,-0.78,-40.91,-2.4
3267,-10.09,-4.51,-0.13,0.0,0.01,0.0,69.54,20.87,-0.78,-40.91,-2.45
3268,-10.09,-4.51,-0.13,0.0,0.01,0.0,69.54,20.87,-0.78,-40.91,-2.44
3269,-10.09,-4.45,-0.18,0.01,0.0,0.0,69.54,20.87,-0.78,-40.91,-2.42
3270,-10.09,-4.45,-0.18,0.01,0.0,0.0,69.54,20.87,-0.78,-40.91,-2.41
3271,-10.1,-4.48,-0.31,0.02,-0.01,0.0,69.0,21.77,-0.95,-40.92,-2.39
3272,-10.1,-4.48,-0.31,0.02,-0.01,0.0,69.0,21.77,-0.95,-40.92,-2.38
3273,-10.07,-4.55,-0.52,0.02,0.0,0.0,69.0,21.77,-0.95,-40.91,-2.38
