user,activity,timestamp,x-axis,y-axis,z-axis
1,Walking,4992122358000,-4.59,4.29,-1.95
1,Walking,4992372327000,-1.38,9.92,-1.99
1,Walking,4992622327000,3.34,7.31,-0.42
1,Walking,4992872327000,6.66,11.92,1.14
1,Walking,4993122327000,-0.8,4.29,-1.27
1,Walking,4993372327000,0.15,16.13,-2.83
1,Walking,4993642286000,2.98,5.9,-2.22
1,Walking,4993892347000,9.51,12.22,2.76
1,Walking,4994142316000,0.99,3.95,-1.5
1,Walking,4994392591000,1.08,12.41,-3.26
1,Walking,4994642347000,7.25,5.9,-0.38
1,Walking,4994892377000,11.6,12.6,6.66
1,Walking,4995142316000,3.95,4.56,2.41
1,Walking,4995392347000,15.75,10.61,6.24
1,Walking,4995642347000,6.02,7.74,-0.46
1,Walking,4995892621000,7.89,11.88,0.11
1,Walking,4996142316000,0.0,10.69,-1.38
1,Walking,4996392316000,19.57,17.05,1.33
1,Walking,4996642316000,3.91,9.53,-2.14
1,Walking,4996892347000,8.16,12.6,1.61
1,Walking,4997142347000,-0.11,15.02,-5.94
1,Walking,4997392347000,9.04,9.77,12.11
1,Walking,4997642316000,0.99,13.91,-2.03
1,Walking,4997892316000,2.18,9.23,-1.65
1,Walking,4998142316000,4.67,17.47,-1.92
1,Walking,4998392347000,-4.06,4.06,-3.11
1,Walking,4998592298000,-0.99,15.75,-1.23
1,Walking,4998852369000,6.51,6.28,-0.89
1,Walking,4999102369000,12.3,11.5,5.09
1,Walking,4999352369000,2.68,2.37,-1.14
1,Walking,4999602369000,3.21,16.13,0.5
1,Walking,4999852369000,5.94,6.17,-1.33
1,Walking,5000102369000,14.02,11.41,5.13
1,Walking,5000352369000,2.96,2.3,-1.27
1,Walking,5000602369000,2.76,10.23,-2.07
1,Walking,5000852369000,6.02,6.74,-1.53
1,Walking,5001112317000,11.92,11.65,4.71
1,Walking,5001372327000,3.15,4.79,-0.19
1,Walking,5001622327000,7.27,5.67,-3.26
1,Walking,5001872358000,5.86,8.2,-2.14
1,Walking,5002122327000,10.38,9.77,1.8
1,Walking,5002372358000,-0.15,6.7,-0.91
1,Walking,5002622327000,18.85,15.4,5.33
1,Walking,5002872327000,3.99,10.34,-2.26
1,Walking,5003122327000,6.7,11.45,-0.72
