time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
285189,-8.61,-5.08,-0.71,-0.02,0.07,0.0,56.37,18.01,10.92,-34.45,-5.06
285190,-8.61,-5.08,-0.71,-0.02,0.07,0.0,56.37,18.01,10.92,-34.45,-5.09
285191,-8.63,-4.94,-0.62,-0.01,0.04,0.0,56.37,18.01,10.92,-34.45,-5.15
285192,-8.63,-4.94,-0.62,-0.01,0.04,0.0,56.37,18.01,10.92,-34.46,-5.15
285193,-8.67,-4.84,-0.94,0.0,0.0,0.0,56.37,18.01,10.92,-34.47,-5.17
285194,-8.67,-4.84,-0.94,0.0,0.0,0.0,56.37,18.01,10.92,-34.49,-5.19
285195,-8.66,-4.95,-0.92,0.01,0.0,0.0,56.37,18.01,10.92,-34.49,-5.2
285196,-8.66,-4.95,-0.92,0.01,0.0,0.0,56.37,18.01,10.92,-34.5,-5.21
285197,-8.69,-5.14,-0.66,0.0,0.03,-0.01,56.37,18.01,10.92,-34.47,-5.26
285198,-8.69,-5.14,-0.66,0.0,0.03,-0.01,56.37,18.01,10.92,-34.47,-5.26
285199,-8.76,-5.05,-0.69,-0.01,0.04,-0.01,56.37,18.01,10.92,-34.47,-5.27
285200,-8.76,-5.05,-0.69,-0.01,0.04,-0.01,56.37,18.01,10.92,-34.47,-5.28
285201,-8.77,-4.88,-0.89,0.0,0.03,-0.01,55.29,17.64,12.65,-34.48,-5.3
285202,-8.77,-4.88,-0.89,0.0,0.03,-0.01,55.29,17.64,12.65,-34.49,-5.31
285203,-8.73,-4.99,-0.64,0.0,0.02,0.0,55.29,17.64,12.65,-34.49,-5.35
285204,-8.73,-4.99,-0.64,0.0,0.02,0.0,55.29,17.64,12.65,-34.5,-5.34
285205,-8.57,-5.13,-0.77,0.0,0.0,0.0,55.29,17.64,12.65,-34.49,-5.34
285206,-8.57,-5.13,-0.77,0.0,0.0,0.0,55.29,17.64,12.65,-34.49,-5.34
285207,-8.56,-5.13,-0.99,0.0,-0.02,0.0,55.29,17.64,12.65,-34.48,-5.35
285208,-8.56,-5.13,-0.99,0.0,-0.02,0.0,55.29,17.64,12.65,-34.48,-5.36
285209,-8.66,-4.95,-1.12,0.0,0.0,0.0,55.29,17.64,12.65,-34.48,-5.39
285210,-8.66,-4.95,-1.12,0.0,0.0,0.0,55.29,17.64,12.65,-34.49,-5.41
285211,-8.71,-4.96,-0.77,0.0,0.03,-0.01,55.29,17.64,12.65,-34.49,-5.42
285212,-8.71,-4.96,-0.77,0.0,0.03,-0.01,55.29,17.64,12.65,-34.49,-5.43
285213,-8.67,-5.0,-0.61,0.0,0.03,-0.02,55.83,19.62,13.17,-34.49,-5.43
285214,-8.67,-5.0,-0.61,0.0,0.03,-0.02,55.83,19.62,13.17,-34.49,-5.42
285215,-8.58,-5.09,-0.66,0.0,0.0,-0.02,55.83,19.62,13.17,-34.45,-5.41
285216,-8.58,-5.09,-0.66,0.0,0.0,-0.02,55.83,19.62,13.17,-34.44,-5.4
285217,-8.69,-5.12,-1.08,0.01,-0.01,-0.01,55.83,19.62,13.17,-34.44,-5.42
285218,-8.69,-5.12,-1.08,0.01,-0.01,-0.01,55.83,19.62,13.17,-34.43,-5.43
285219,-8.74,-5.05,-1.01,0.0,0.01,0.0,55.83,19.62,13.17,-34.44,-5.45
285220,-8.74,-5.05,-1.01,0.0,0.01,0.0,55.83,19.62,13.17,-34.44,-5.47
285221,-8.61,-5.05,-0.79,0.0,0.02,0.0,55.83,19.62,13.17,-34.44,-5.51
285222,-8.61,-5.05,-0.79,0.0,0.02,0.0,55.83,19.62,13.17,-34.44,-5.52
285223,-8.61,-5.08,-0.62,0.0,0.0,0.0,55.83,19.62,13.17,-34.44,-5.51
285224,-8.61,-5.08,-0.62,0.0,0.0,0.0,55.83,19.62,13.17,-34.44,-5.49
285225,-8.67,-5.09,-0.78,0.01,-0.01,0.0,55.29,16.57,13.34,-34.44,-5.49
285226,-8.67,-5.09,-0.78,0.01,-0.01,0.0,55.29,16.57,13.34,-34.44,-5.48
285227,-8.77,-5.05,-1.07,0.01,-0.01,0.0,55.29,16.57,13.34,-34.44,-5.47
285228,-8.77,-5.05,-1.07,0.01,-0.01,0.0,55.29,16.57,13.34,-34.45,-5.48
285229,-8.69,-5.05,-1.08,0.0,0.01,0.0,55.29,16.57,13.34,-34.45,-5.51
285230,-8.69,-5.05,-1.08,0.0,0.01,0.0,55.29,16.57,13.34,-34.45,-5.53
285231,-8.57,-5.14,-0.84,0.0,0.03,0.0,55.29,16.57,13.34,-34.44,-5.54
285232,-8.57,-5.14,-0.84,0.0,0.03,0.0,55.29,16.57,13.34,-34.44,-5.55
285233,-8.57,-5.17,-0.59,0.0,0.01,0.0,55.29,16.57,13.34,-34.43,-5.56
285234,-8.57,-5.17,-0.59,0.0,0.01,0.0,55.29,16.57,13.34,-34.42,-5.55
285235,-8.65,-5.11,-0.79,0.0,-0.01,0.0,55.29,16.57,13.34,-34.42,-5.55
285236,-8.65,-5.11,-0.79,0.0,-0.01,0.0,55.29,16.57,13.34,-34.42,-5.54
285237,-8.77,-5.0,-0.93,0.0,-0.01,0.0,56.19,17.11,13.52,-34.43,-5.54
285238,-8.77,-5.0,-0.93,0.0,-0.01,0.0,56.19,17.11,13.52,-34.44,-5.55
285239,-5.58,-2.0,-0.44,0.0,0.0,0.01,56.19,17.11,13.52,-34.56,-5.55
285240,-5.58,-2.0,-0.44,0.0,0.0,0.01,56.19,17.11,13.52,-34.67,-5.56
