user,activity,timestamp,x-axis,y-axis,z-axis
17,Upstairs,34334782331000,-0.34,10.61,0.65
17,Upstairs,34334832349000,-0.19,10.0,0.89
17,Upstairs,34334882337000,-0.08,9.62,1.18
17,Upstairs,34334882337000,-0.08,9.62,1.18
17,Upstairs,34334982374000,-1.88,11.69,-0.34
17,Upstairs,34335032331000,-1.65,11.26,-0.15
17,Upstairs,34335082349000,-0.76,10.99,-0.95
17,Upstairs,34335132337000,0.15,8.92,-2.96
17,Upstairs,34335182325000,0.84,8.62,-2.91
17,Upstairs,34335232313000,0.0,10.04,-0.89
17,Upstairs,34335282300000,0.19,10.42,-0.42
17,Upstairs,34335332349000,-0.08,9.53,-1.31
17,Upstairs,34335383192000,-0.3,9.11,-0.57
17,Upstairs,34335432355000,0.0,8.62,0.04
17,Upstairs,34335482343000,0.19,9.43,0.19
17,Upstairs,34335532331000,0.11,9.89,-0.34
17,Upstairs,34335582349000,0.23,10.46,0.99
17,Upstairs,34335632337000,1.65,11.18,1.04
17,Upstairs,34335682325000,1.08,13.91,-0.8
17,Upstairs,34335732343000,-0.11,12.41,-3.57
17,Upstairs,34335782331000,-1.76,8.01,-3.34
17,Upstairs,34335832349000,-1.38,7.59,-1.57
17,Upstairs,34335882337000,0.84,12.76,-0.76
17,Upstairs,34335932325000,1.08,11.92,-1.8
17,Upstairs,34335982343000,-0.42,7.12,-0.69
17,Upstairs,34336032331000,0.19,7.16,0.76
17,Upstairs,34336082349000,0.5,9.81,0.61
17,Upstairs,34336132337000,-0.23,9.92,0.72
17,Upstairs,34336182325000,0.08,10.73,0.27
17,Upstairs,34336232343000,-0.38,12.22,-0.89
17,Upstairs,34336282239000,-0.8,14.37,-3.21
17,Upstairs,34336332349000,1.12,8.08,-3.26
17,Upstairs,34336382368000,-0.57,6.66,-2.79
17,Upstairs,34336432325000,-0.89,11.07,-1.12
17,Upstairs,34336492322000,-1.04,11.07,-1.12
17,Upstairs,34336542310000,-0.5,8.77,-1.53
17,Upstairs,34336592328000,1.31,8.62,-0.5
17,Upstairs,34336642286000,0.69,10.57,-0.15
17,Upstairs,34336692304000,1.23,12.41,-0.3
17,Upstairs,34336742292000,1.23,12.98,0.57
17,Upstairs,34336792310000,1.04,12.22,-3.79
17,Upstairs,34336842298000,-1.69,14.21,-3.17
17,Upstairs,34336892316000,-2.37,9.34,-2.07
17,Upstairs,34336942304000,-0.42,5.33,-1.8
17,Upstairs,34336992292000,0.93,8.73,-1.69
17,Upstairs,34337042310000,-0.23,11.37,-0.72
17,Upstairs,34337092359000,-0.3,9.43,-0.65
17,Upstairs,34337142316000,0.27,8.01,-1.18
17,Upstairs,34337192304000,-0.99,10.31,0.5
17,Upstairs,34337242322000,-1.95,12.22,0.61
17,Upstairs,34337292310000,-1.65,12.64,1.42
17,Upstairs,34337342298000,-1.04,12.6,-1.61
17,Upstairs,34337392316000,-2.34,11.54,-1.27
17,Upstairs,34337442304000,-0.76,7.35,-3.21
17,Upstairs,34337492292000,-0.38,6.05,-2.45
17,Upstairs,34337542310000,-0.99,8.85,-2.6
17,Upstairs,34337592298000,-2.03,10.23,-0.72
17,Upstairs,34337642316000,-0.76,9.51,-0.8
17,Upstairs,34337692304000,-0.34,8.01,-2.34
17,Upstairs,34337742353000,0.08,8.92,-0.61
17,Upstairs,34337792310000,0.93,10.5,0.19
17,Upstairs,34337842298000,1.76,12.6,-0.72
17,Upstairs,34337892316000,0.0,13.82,1.8
17,Upstairs,34337942335000,0.19,12.07,-4.75
17,Upstairs,34337992292000,-0.65,11.56,-3.34
17,Upstairs,34338042341000,-2.98,9.85,-0.61
17,Upstairs,34338092328000,0.19,7.12,-1.99
17,Upstairs,34338142316000,1.27,8.43,-1.76
17,Upstairs,34338192304000,-1.33,9.77,-0.95
17,Upstairs,34338242322000,-2.26,8.77,-1.04
17,Upstairs,34338292310000,-0.08,8.54,-1.08
17,Upstairs,34338342298000,-0.27,10.15,-1.76
17,Upstairs,34338392316000,-0.95,12.72,2.26
17,Upstairs,34338442335000,-2.98,14.14,-2.49
17,Upstairs,34338492292000,-2.49,11.07,-1.99
17,Upstairs,34338542310000,-0.11,7.93,-3.02
17,Upstairs,34338592298000,-0.3,8.24,-2.91
17,Upstairs,34338642316000,-1.33,9.04,-1.61
17,Upstairs,34338692304000,-1.88,8.77,-2.22
17,Upstairs,34338742322000,-0.3,9.51,-1.14
17,Upstairs,34338792341000,-0.57,8.62,-2.53
17,Upstairs,34338842298000,-0.69,9.7,-0.72
17,Upstairs,34338892316000,0.34,11.6,0.04
17,Upstairs,34338942304000,1.57,13.76,-0.11
17,Upstairs,34338992322000,1.33,10.88,0.69
17,Upstairs,34339042341000,0.89,8.08,-5.67
17,Upstairs,34339092298000,-2.79,13.48,-2.98
17,Upstairs,34339142377000,-3.76,10.61,-0.3
17,Upstairs,34339192335000,0.93,7.08,-1.57
17,Upstairs,34339242658000,2.07,8.54,-2.03
17,Upstairs,34339292341000,-1.04,8.16,-0.91
17,Upstairs,34339342298000,-1.38,8.92,-0.34
17,Upstairs,34339392316000,-0.19,9.53,-1.12
17,Upstairs,34339442335000,-1.14,12.07,0.08
17,Upstairs,34339492292000,-1.42,13.4,1.12
17,Upstairs,34339542310000,-1.73,11.84,-2.22
17,Upstairs,34339592359000,-2.41,9.38,-2.56
17,Upstairs,34339642316000,-0.27,7.12,-2.96
17,Upstairs,34339692304000,0.27,10.0,-2.75
17,Upstairs,34339742322000,-0.89,9.58,-1.33
17,Upstairs,34339792310000,-1.23,8.39,-1.23
17,Upstairs,34339842298000,-0.34,7.93,-1.57
17,Upstairs,34339892347000,-0.11,9.08,-1.38
17,Upstairs,34339942304000,0.04,10.38,-0.5
17,Upstairs,34339992292000,1.92,12.34,-0.38
17,Upstairs,34340042310000,1.61,13.99,0.0
17,Upstairs,34340092298000,0.34,12.95,-4.37
17,Upstairs,34340142347000,-1.23,11.11,-3.6
17,Upstairs,34340192304000,-3.49,9.08,-2.11
17,Upstairs,34340242322000,-0.61,7.55,-1.14
17,Upstairs,34340292341000,1.31,8.62,-2.6
17,Upstairs,34340342328000,-0.11,8.69,-1.12
17,Upstairs,34340392866000,-1.38,8.12,-0.23
17,Upstairs,34340442335000,-0.3,10.04,-0.34
17,Upstairs,34340492292000,0.31,12.34,-0.95
17,Upstairs,34340542371000,-0.27,14.14,1.08
17,Upstairs,34340592328000,-2.26,10.27,-2.53
17,Upstairs,34340642377000,-2.6,7.93,-2.79
17,Upstairs,34340692304000,-0.84,9.11,-3.49
17,Upstairs,34340742414000,-0.19,10.27,-2.03
17,Upstairs,34340792310000,-0.15,8.58,-2.79
17,Upstairs,34340842389000,-1.23,7.89,-1.38
17,Upstairs,34340892347000,-0.57,7.78,-1.46
17,Upstairs,34340942304000,0.15,8.81,-1.08
17,Upstairs,34340992353000,0.5,10.57,-0.65
17,Upstairs,34341042341000,1.54,12.83,-1.31
17,Upstairs,34341092298000,0.84,14.94,0.04
17,Upstairs,34341142316000,0.31,11.92,-4.21
17,Upstairs,34341192335000,-0.46,10.76,-3.87
17,Upstairs,34341242628000,-2.83,9.58,-1.61
17,Upstairs,34341292310000,-0.5,7.5,-1.23
17,Upstairs,34341342298000,0.93,8.35,-1.76
17,Upstairs,34341392316000,0.19,8.81,-1.53
17,Upstairs,34341442335000,-1.04,9.28,-0.3
17,Upstairs,34341492292000,-0.42,10.92,-0.53
17,Upstairs,34341492292000,-0.42,10.92,-0.53
17,Upstairs,34341562360000,-1.31,13.53,0.0
17,Upstairs,34341612317000,-0.38,11.11,-0.8
17,Upstairs,34341662336000,-1.57,7.35,-2.56
17,Upstairs,34341722303000,-0.76,8.2,-4.21
17,Upstairs,34341772443000,-0.46,10.8,-1.61
17,Upstairs,34341822339000,-0.91,8.73,-1.12
17,Upstairs,34341872327000,-0.69,7.7,-2.18
17,Upstairs,34341922346000,0.04,7.89,-1.33
17,Upstairs,34341972303000,0.5,9.08,-1.5
17,Upstairs,34342022352000,0.27,10.34,-1.04
17,Upstairs,34342072339000,0.99,12.22,-0.46
17,Upstairs,34342122327000,1.69,14.02,-0.42
17,Upstairs,34342172346000,0.65,12.72,-2.11
17,Upstairs,34342222333000,0.65,10.92,-5.24
17,Upstairs,34342272352000,-3.06,10.57,-1.69
17,Upstairs,34342322339000,-0.84,8.16,-1.27
17,Upstairs,34342372327000,1.8,8.58,-2.41
17,Upstairs,34342422346000,0.38,10.27,-1.99
17,Upstairs,34342472333000,-1.61,8.47,-0.46
17,Upstairs,34342522321000,-0.61,8.2,-0.72
17,Upstairs,34342572339000,0.53,10.0,-0.46
17,Upstairs,34342622327000,-0.46,13.18,-0.23
17,Upstairs,34342672346000,-1.14,12.95,1.23
17,Upstairs,34342722364000,-1.18,9.7,-1.73
17,Upstairs,34342772321000,-0.8,7.21,-3.79
17,Upstairs,34342822370000,-0.84,9.15,-2.83
17,Upstairs,34342872327000,-0.57,10.92,-0.72
17,Upstairs,34342922346000,-0.42,7.82,-1.92
17,Upstairs,34342972303000,-0.65,7.82,-1.27
17,Upstairs,34343022321000,-0.69,9.51,-1.33
17,Upstairs,34343072339000,0.89,12.6,-0.69
17,Upstairs,34343122327000,1.18,12.49,0.38
17,Upstairs,34343172346000,2.64,13.02,0.69
17,Upstairs,34343222333000,2.41,10.8,-1.42
17,Upstairs,34343272382000,-1.12,7.01,-4.1
17,Upstairs,34343322339000,-0.91,12.22,-2.56
17,Upstairs,34343372297000,-1.95,11.69,-1.92
17,Upstairs,34343422346000,0.69,7.01,-2.26
17,Upstairs,34343472333000,1.27,9.43,-1.95
17,Upstairs,34343522321000,-1.42,9.28,-2.41
17,Upstairs,34343572339000,-1.88,8.47,-0.61
17,Upstairs,34343622327000,0.23,6.66,-1.42
17,Upstairs,34343672346000,1.33,5.98,0.11
17,Upstairs,34343722364000,2.37,7.59,1.23
