net_amt,date,account_balance,credit_amt,district_id,debit_amt
50424.99999999994,1995-04-30,485849.6999999993,232833.8,77,182408.80000000005
22260.399999999936,1995-03-31,435424.6999999994,269788.6,77,247528.20000000004
94952.99999999991,1995-02-28,413164.29999999946,272404.19999999995,77,177451.20000000004
13419.299999999988,1994-11-30,476239.19999999966,209552.50000000003,77,196133.20000000004
-109497.19999999995,1995-01-31,318211.2999999996,209838.0,77,319335.19999999995
-48530.7000000001,1994-12-31,427708.49999999953,231587.49999999997,77,280118.20000000007
62243.89999999991,1994-10-31,462819.8999999997,222890.09999999995,77,160646.20000000004
-8094.700000000041,1994-09-30,400575.99999999977,209406.9,77,217501.60000000003
9029.79999999996,1994-08-31,408670.69999999984,165241.4,77,156211.60000000003
-10613.400000000023,1994-07-31,399640.8999999999,216353.2,77,226966.60000000003
26233.100000000093,1994-06-30,410254.29999999993,314950.70000000007,77,288717.6
18112.79999999993,1994-05-31,384021.19999999984,193141.79999999996,77,175029.00000000003
-16426.900000000052,1994-04-30,365908.3999999999,140441.09999999998,77,156868.00000000003
20958.699999999983,1994-03-31,382335.29999999993,202146.7,77,181188.00000000003
25242.399999999965,1993-12-31,352410.5999999999,196134.99999999997,77,170892.6
58991.899999999965,1994-02-28,361376.5999999999,177411.3,77,118419.40000000002
-50025.899999999965,1994-01-31,302384.69999999995,280086.3,77,330112.19999999995
43438.29999999999,1993-11-30,327168.19999999995,146308.9,77,102870.6
23879.100000000006,1993-10-31,283729.89999999997,139185.1,77,115306.0
16246.299999999988,1993-08-31,285734.89999999997,128823.69999999998,77,112577.4
-25884.100000000006,1993-09-30,259850.79999999996,118158.9,77,144043.0
95146.49999999999,1993-07-31,269488.6,181871.69999999998,77,86725.2
33685.7,1993-06-30,174342.09999999998,84206.9,77,50521.2
24651.9,1993-05-31,140656.4,57702.5,77,33050.6
17804.899999999994,1993-03-31,58914.09999999999,36804.899999999994,77,19000.0
-95468.39999999909,1998-10-31,2255755.5000000107,841879.4000000001,76,937347.7999999992
57090.399999999994,1993-04-30,116004.49999999999,82790.4,77,25700.0
35192.1,1993-02-28,41109.2,36692.1,77,1500.0
24702.30000000063,1998-08-31,2019692.4000000092,931743.9,76,907041.5999999994
34710.30000000063,1998-11-30,2290465.8000000115,1069313.1,76,1034602.7999999995
5917.1,1993-01-31,5917.1,5917.1,77,0.0
120761.40000000084,1998-05-31,2133401.3000000087,1124146.0,76,1003384.5999999992
237847.40000000014,1998-12-31,2528313.2000000114,1141864.6,76,904017.2
331531.50000000047,1998-09-30,2351223.9000000097,1095485.2999999998,76,763953.7999999993
-618334.0000000005,1998-01-31,1627833.900000005,945238.2,76,1563572.2000000004
-39261.29999999935,1998-07-31,1994990.1000000087,878878.3,76,918139.5999999994
288844.5000000007,1998-02-28,1916678.4000000057,835601.3000000003,76,546756.7999999996
196894.9000000013,1998-03-31,2113573.3000000073,1002753.3000000005,76,805858.3999999992
-99149.9000000006,1998-06-30,2034251.400000008,1338916.7,76,1438066.6000000006
-100933.39999999932,1998-04-30,2012639.9000000078,834376.5999999999,76,935309.9999999992
157166.8000000004,1997-12-31,2246167.9000000055,1093655.5999999999,76,936488.7999999995
146618.20000000042,1997-11-30,2089001.1000000052,812393.0,76,665774.7999999996
10823.000000000582,1997-09-30,1760037.1000000043,819894.5000000001,76,809071.4999999995
182345.8000000005,1997-10-31,1942382.9000000048,937141.6,76,754795.7999999995
158217.3000000005,1997-08-31,1749214.1000000036,807273.9000000001,76,649056.5999999996
148152.10000000068,1997-07-31,1590996.800000003,758234.2000000003,76,610082.0999999996
-336816.7999999998,1997-06-30,1442844.7000000023,914772.5,76,1251589.2999999998
215550.40000000037,1997-05-31,1779661.500000002,781439.4,76,565888.9999999997
15502.90000000014,1997-04-30,1564111.1000000017,595641.8999999998,76,580138.9999999997
244157.19999999995,1997-03-31,1548608.2000000016,823511.5999999997,76,579354.3999999998
218485.40000000014,1996-12-31,1646907.500000001,829352.6,76,610867.1999999998
67905.70000000013,1997-02-28,1304451.0000000016,553478.1,76,485572.39999999985
-410362.1999999995,1997-01-31,1236545.3000000014,749088.0,76,1159450.1999999995
68263.80000000022,1996-11-30,1428422.1000000008,574987.4,76,506723.5999999998
76650.40000000008,1996-10-31,1360158.3000000005,582516.9999999999,76,505866.5999999998
47341.2000000003,1996-09-30,1283507.9000000004,789736.2000000001,76,742394.9999999998
162241.59999999998,1996-07-31,1244785.1,578411.6,76,416170.0
-8618.399999999907,1996-08-31,1236166.7000000002,441335.5999999999,76,449953.9999999998
-187835.1999999996,1996-06-30,1082543.5,581753.6000000001,76,769588.7999999997
59695.20000000001,1996-05-31,1270378.6999999995,540635.2,76,480939.99999999994
86489.89999999997,1996-04-30,1210683.4999999995,552538.2999999999,76,466048.39999999997
152552.99999999988,1996-03-31,1124193.5999999996,530449.2,76,377896.20000000007
126095.59999999992,1996-02-29,971640.5999999996,412696.60000000003,76,286601.0000000001
-77298.69999999984,1996-01-31,845544.9999999998,493889.1,76,571187.7999999998
4432.099999999977,1995-11-30,928234.2999999997,344695.9,76,340263.80000000005
-5390.600000000093,1995-12-31,922843.6999999996,336434.19999999995,76,341824.80000000005
75570.6999999999,1995-10-31,923802.1999999997,354430.49999999994,76,278859.80000000005
-75269.59999999992,1995-09-30,848231.4999999998,373019.2,76,448288.79999999993
143733.59999999992,1995-08-31,923501.0999999996,459284.39999999997,76,315550.80000000005
105736.60000000021,1995-04-30,836453.6999999996,572541.4,76,466804.7999999998
36735.2999999999,1995-07-31,779767.4999999997,268364.1,76,231628.80000000008
-110089.49999999983,1995-06-30,743032.1999999997,392669.3,76,502758.7999999998
16667.999999999884,1995-05-31,853121.6999999995,359416.8,76,342748.8000000001
79186.49999999991,1995-03-31,730717.0999999994,327245.3,76,248058.80000000008
-163888.89999999973,1995-01-31,563991.0999999996,314549.5,76,478438.39999999973
87539.49999999991,1995-02-28,651530.5999999995,220349.3,76,132809.80000000008
-39540.40000000011,1994-11-30,695473.4999999993,252559.19999999998,76,292099.6000000001
32406.49999999994,1994-12-31,727879.9999999993,300652.7,76,268246.20000000007
-62308.00000000006,1994-10-31,735013.8999999994,227777.60000000003,76,290085.6000000001
122058.89999999988,1994-08-31,741024.7999999995,374452.49999999994,76,252393.60000000006
56297.09999999992,1994-09-30,797321.8999999994,302856.7,76,246559.6000000001
38563.79999999993,1994-03-31,587098.8999999999,327356.0,76,288792.20000000007
-12116.700000000186,1994-07-31,618965.8999999996,272354.29999999993,76,284471.0000000001
-4430.900000000023,1994-06-30,631082.5999999997,297500.5,76,301931.4
-24159.500000000175,1994-05-31,635513.4999999998,193552.2999999999,76,217711.80000000008
76322.39999999997,1994-02-28,548535.1,218561.4,76,142239.00000000003
72574.09999999995,1994-04-30,659672.9999999999,311381.5,76,238807.40000000005
60675.49999999999,1993-11-30,304590.9,112754.9,76,52079.4
30279.29999999999,1994-01-31,472212.7,348036.10000000003,76,317756.80000000005
137342.49999999997,1993-12-31,441933.4,224271.89999999997,76,86929.4
88044.3,1993-10-31,243915.40000000002,111841.5,76,23797.2
46373.600000000006,1993-09-30,155871.1,59056.200000000004,76,12682.6
27185.6,1993-08-31,109497.5,34468.2,76,7282.6
10697.400000000001,1993-06-30,56443.600000000006,11797.400000000001,76,1100.0
25868.300000000003,1993-07-31,82311.90000000001,26282.9,76,414.6
7675.400000000001,1993-05-31,45746.200000000004,7675.400000000001,76,0.0
6475.400000000001,1993-04-30,38070.8,6475.400000000001,76,0.0
12070.8,1993-01-31,12070.8,12070.8,76,0.0
11974.5,1993-03-31,31595.4,11974.5,76,0.0
7550.1,1993-02-28,19620.9,7550.1,76,0.0
225974.90000000014,1998-12-31,2325985.5000000177,1027593.4000000001,75,801618.5
-23843.899999999558,1998-11-30,2100010.600000018,828971.1,75,852814.9999999995
113816.200000001,1998-10-31,2123854.500000017,953329.8000000003,75,839513.5999999993
1980.6000000006752,1998-09-30,2010038.300000016,776248.7999999999,75,774268.1999999993
34500.70000000112,1998-08-31,2008057.7000000156,875019.6000000003,75,840518.8999999992
42045.70000000042,1998-05-31,1988035.3000000129,906125.8999999999,75,864080.1999999995
64061.80000000098,1998-07-31,1973557.0000000144,1114965.1000000003,75,1050903.2999999993
-78540.0999999994,1998-06-30,1909495.2000000135,1169670.9000000004,75,1248210.9999999998
-3837.8999999992084,1998-04-30,1945989.6000000124,777279.2000000003,75,781117.0999999995
113800.00000000081,1998-03-31,1949827.5000000116,793329.3000000003,75,679529.2999999995
170495.20000000054,1998-02-28,1836027.5000000107,907667.3,75,737172.0999999995
-267841.09999999986,1998-01-31,1665532.3000000103,1018325.3,75,1286166.4
191909.00000000047,1997-12-31,1933373.4000000102,1020249.3999999999,75,828340.3999999994
175049.70000000054,1997-11-30,1741464.4000000097,746907.8000000002,75,571858.0999999996
-91475.7999999997,1997-10-31,1566414.700000009,573235.2999999999,75,664711.0999999996
