Date,Price
08/04/2019,59.405
08/11/2019,69.1362
08/18/2019,59.045300000000005
08/25/2019,60.61
09/01/2019,63.8676
09/08/2019,67.4655
09/15/2019,48.2147
09/22/2019,56.4691
09/29/2019,61.7877
10/06/2019,49.230000000000004
10/13/2019,44.6374
10/20/2019,65.7256
10/27/2019,64.068
11/03/2019,57.812400000000004
11/10/2019,40.403999999999996
11/17/2019,66.4355
11/24/2019,63.9972
12/01/2019,67.488
12/08/2019,72.6847
12/15/2019,68.2972
12/22/2019,57.3996
12/29/2019,59.266999999999996
01/05/2020,57.2688
01/12/2020,75.5166
01/19/2020,66.11179999999999
01/26/2020,53.1068
02/02/2020,49.8168
02/09/2020,46.3245
02/16/2020,61.9208
02/23/2020,46.102799999999995
03/01/2020,34.2624
03/08/2020,32.0473
03/15/2020,21.9814
03/22/2020,20.864700000000003
03/29/2020,27.4898
04/05/2020,25.9464
04/12/2020,14.0679
04/19/2020,19.142200000000003
04/26/2020,15.6262
05/03/2020,25.976999999999997
05/10/2020,25.6041
05/17/2020,32.9175
05/24/2020,33.005700000000004
05/31/2020,30.848999999999997
06/07/2020,28.6454
06/14/2020,34.185
06/21/2020,49.652100000000004
06/28/2020,32.519999999999996
07/05/2020,46.227
07/12/2020,40.1841
07/19/2020,33.032
07/26/2020,43.491600000000005
08/02/2020,46.5786
08/09/2020,50.412
08/16/2020,33.872
08/23/2020,48.1264
08/30/2020,42.156200000000005
09/06/2020,33.597
09/13/2020,39.4656
09/20/2020,34.2125
