x,y,item,store
2016-10-09,63.38714878423247,59,9
2016-10-16,107.3292290511429,59,9
2016-10-23,55.49997109513035,59,9
2016-10-30,47.67715742921058,59,9
2016-11-06,68.69355662310724,59,9
2016-11-13,75.50601215971628,59,9
2016-11-20,74.21109292736566,59,9
2016-11-27,69.066863921104,59,9
2016-12-04,93.34095719091007,59,9
2016-12-11,110.86725833496072,59,9
2016-12-18,92.81616559957769,59,9
2016-12-25,70.57166253153956,59,9
2017-01-01,72.23686066765264,59,9
2017-01-08,69.91754585290309,59,9
2017-01-15,65.32130438208009,59,9
2017-01-22,67.1237506318651,59,9
2017-01-29,65.7380312980705,59,9
2017-02-05,84.44831844849973,59,9
2017-02-12,58.31422673763113,59,9
2017-02-19,76.18370938875924,59,9
2017-02-26,51.53140866370518,59,9
2017-03-05,82.04977384554985,59,9
2017-03-12,74.10490226683027,59,9
2017-03-19,94.04470407432076,59,9
2017-03-26,100.43826870882944,59,9
2017-04-02,84.71514489601691,59,9
2017-04-09,81.83735355203852,59,9
2017-04-16,70.61591926961863,59,9
2017-04-23,75.22073485537575,59,9
2017-04-30,63.71354859573867,59,9
2017-05-07,86.44584033020018,59,9
2017-05-14,81.15955917695271,59,9
2017-05-21,75.47979663578533,59,9
2017-05-28,56.74529973165394,59,9
2017-06-04,49.62524922788623,59,9
2017-06-11,84.1223610143748,59,9
2017-06-18,69.02251036283691,59,9
2017-06-25,55.90238098939461,59,9
2017-07-02,76.33469473754315,59,9
2017-07-09,60.44373173109621,59,9
2017-07-16,75.93988093954793,59,9
2017-07-23,111.4151754099196,59,9
2017-07-30,88.28892302421103,59,9
2017-08-06,85.69602358316567,59,9
2017-08-13,95.1024484085103,59,9
2017-08-20,48.84482585825795,59,9
2017-08-27,81.83207809471911,59,9
2017-09-03,81.11590959440845,59,9
2017-09-10,169.7608648906067,59,9
2017-09-17,90.79455941771396,59,9
2017-09-24,59.27245071321927,59,9
2017-10-01,101.93425724360978,59,9
2017-10-08,65.41927734139512,59,9
2017-10-15,89.91957173479119,59,9
2017-10-22,91.4520061594113,59,9
2017-10-29,68.44414230161064,59,9
2017-11-05,68.60873429027589,59,9
2017-11-12,69.72680102189807,59,9
2017-11-19,59.35414612119493,59,9
2017-11-26,63.15241832637434,59,9
2017-12-03,68.211165219095,59,9
2017-12-10,55.43291623394566,59,9
2017-12-17,66.30711773713139,59,9
2017-12-24,71.62946527914167,59,9
2017-12-31,64.96812831546477,59,9
2018-01-07,77.01871934440777,59,9
2018-01-14,55.37801769631973,59,9
2018-01-21,68.8712093154548,59,9
2018-01-28,60.77940172458258,59,9
2018-02-04,62.21902401271907,59,9
2018-02-11,95.48276170354522,59,9
2018-02-18,110.3333609987463,59,9
2018-02-25,58.94248411029153,59,9
2018-03-04,102.95775142880362,59,9
2018-03-11,94.35994184592498,59,9
2018-03-18,50.61567906257813,59,9
2018-03-25,78.97271809400829,59,9
2018-04-01,89.0075121161239,59,9
2018-04-08,75.42623910705976,59,9
2018-04-15,73.87217588840952,59,9
2018-04-22,85.60011399242487,59,9
2018-04-29,61.84399370537943,59,9
2018-05-06,90.87926073088472,59,9
2018-05-13,61.02360789884693,59,9
2018-05-20,85.68875538595725,59,9
2018-05-27,64.07513444924041,59,9
2018-06-03,64.25768019816815,59,9
2018-06-10,83.78520485420553,59,9
2018-06-17,52.13375130280576,59,9
2018-06-24,53.54745253525493,59,9
2018-07-01,136.04117452694098,59,9
2018-07-08,78.96435977269215,59,9
2018-07-15,68.64034518451565,59,9
