date,time,store,item,x,y
455962,122,14,48,118.8896682061731,15.770515183529971
455963,123,14,48,119.98966820617308,11.609834322108178
455964,124,14,48,121.08966820617307,10.34329252748922
455965,125,14,48,122.18966820617308,10.419654678008149
455966,126,14,48,123.28966820617308,12.478565334234585
455967,127,14,48,124.38966820617308,13.185263576891735
455968,128,14,48,125.48966820617306,11.148468699082922
455969,129,14,48,126.58966820617306,11.104096661905515
455970,130,14,48,127.68966820617304,12.505090821654738
455971,131,14,48,128.78966820617305,12.93006160685033
455972,132,14,48,129.88966820617304,14.338481858754896
455973,133,14,48,130.98966820617304,11.496694800922189
455974,134,14,48,132.08966820617303,12.427050795228611
455975,135,14,48,133.18966820617302,13.17522616120066
455976,136,14,48,133.68966820617302,14.431173617377722
455977,137,14,48,134.18966820617302,13.233517437573962
455978,138,14,48,134.68966820617302,13.668984034753326
455979,139,14,48,135.18966820617302,14.90725535241232
455980,140,14,48,135.68966820617302,13.62138328905265
455981,141,14,48,136.18966820617302,15.213606848259085
455982,142,14,48,136.68966820617302,14.084151494957748
455983,143,14,48,137.18966820617302,16.089833991016263
455984,144,14,48,137.68966820617302,12.384023369930429
455985,145,14,48,138.18966820617302,16.578903549343014
455986,146,14,48,138.68966820617302,15.357433851665466
455987,147,14,48,139.18966820617302,14.951138171049395
455988,148,14,48,139.68966820617302,21.50117701934023
455989,149,14,48,140.18966820617302,17.31451703460307
455990,150,14,48,140.68966820617302,13.931299689080983
455991,151,14,48,141.18966820617302,10.605887399890284
455992,152,14,48,141.68966820617302,14.239679975364425
455993,153,14,48,142.18966820617302,20.95218452892488
455994,154,14,48,142.68966820617302,21.984380565620352
455995,155,14,48,143.18966820617302,30.27407820717356
455996,156,14,48,143.68966820617302,-6.821993924682581
455997,157,14,48,144.18966820617302,43.44748161814245
455998,158,14,48,144.68966820617302,32.7553327797498
455999,159,14,48,145.18966820617302,-0.9308752371730024
456000,160,14,48,145.68966820617302,25.41308828623817
456001,161,14,48,146.18966820617302,9.33053853406684
456002,162,14,48,146.68966820617302,9.357256328954962
456003,163,14,48,147.18966820617302,15.124941394867289
456004,164,14,48,147.68966820617302,20.43867033035953
456005,165,14,48,148.18966820617302,23.94684902514324
456006,166,14,48,148.68966820617302,21.12015910349924
456007,167,14,48,149.18966820617302,16.65912904993154
456008,168,14,48,149.68966820617302,16.3714080573744
456009,169,14,48,150.18966820617302,16.28011383387513
456010,170,14,48,150.68966820617302,16.957156347116268
456011,171,14,48,151.18966820617302,16.832668413092794
456012,172,14,48,151.68966820617302,17.316335176388844
456013,173,14,48,152.18966820617302,16.59841626858641
456014,174,14,48,152.68966820617302,16.595712458364982
456015,175,14,48,153.18966820617302,17.856264232651387
456016,176,14,48,153.68966820617302,17.20473306235403
456017,177,14,48,154.18966820617302,14.99198122197559
456018,178,14,48,154.68966820617302,17.19591241567716
456019,179,14,48,155.18966820617302,15.45836853384142
456020,180,14,48,155.68966820617302,15.6414544585435
456021,181,14,48,156.18966820617302,17.161411255792434
456022,182,14,48,156.68966820617302,17.10316260717777
456023,183,14,48,157.18966820617302,14.767907486368497
456024,184,14,48,157.68966820617302,15.015296192663053
456025,185,14,48,158.18966820617302,16.21791063017308
456026,186,14,48,158.68966820617302,16.669003573967156
456027,187,14,48,159.18966820617302,15.056486644588988
456028,188,14,48,159.68966820617302,16.719602489488224
456029,189,14,48,160.18966820617302,17.279257547473687
456030,190,14,48,160.68966820617302,15.375374045387154
456031,191,14,48,161.18966820617302,17.69863422027673
456032,192,14,48,161.68966820617302,18.01392827583138
456033,193,14,48,162.18966820617302,23.963577855619302
456034,194,14,48,162.68966820617302,18.697824006388764
456035,195,14,48,163.18966820617302,17.325333077486153
456036,196,14,48,163.68966820617302,15.393582450804091
456037,197,14,48,164.18966820617302,16.30747483859009
456038,198,14,48,164.68966820617302,20.71670337444566
456039,199,14,48,165.18966820617302,25.259627843001446
456040,200,14,48,165.68966820617302,32.070256149536846
456041,201,14,48,166.18966820617302,-2.3869618914867434
456042,202,14,48,166.68966820617302,46.58129383708766
456043,203,14,48,167.18966820617302,37.06442571798954
456044,204,14,48,167.68966820617302,3.5429619089970874
456045,205,14,48,168.18966820617302,27.342569645508547
456046,206,14,48,168.68966820617302,10.98608811561019
456047,207,14,48,169.18966820617302,12.785407871802958
456048,208,14,48,169.68966820617302,17.914266900164698
456049,209,14,48,170.18966820617302,23.43872931330037
456050,210,14,48,170.68966820617302,29.148347208981345
456051,211,14,48,171.18966820617302,23.908977229103257
456052,212,14,48,171.68966820617302,19.91490883866277
456053,213,14,48,172.18966820617302,19.06630539033705
456054,214,14,48,172.68966820617302,17.798519175848746
456055,215,14,48,173.18966820617302,18.07404996519901
456056,216,14,48,173.68966820617302,19.64695531824076
456057,217,14,48,174.18966820617302,16.756422204225334
456058,218,14,48,174.68966820617302,19.371378112951184
456059,219,14,48,175.18966820617302,19.2935099042561
456060,220,14,48,175.68966820617302,19.348066993965134
456061,221,14,48,176.18966820617302,21.37693519687844
456062,222,14,48,176.68966820617302,20.81788975286492
456063,223,14,48,177.18966820617302,18.314999489569907
456064,224,14,48,177.68966820617302,20.758148975658177
456065,225,14,48,178.18966820617302,18.54069054985952
456066,226,14,48,178.68966820617302,18.25281028920883
456067,227,14,48,179.18966820617302,18.97438218849869
456068,228,14,48,179.68966820617302,20.46006832083232
456069,229,14,48,180.18966820617305,19.10777722933307
456070,230,14,48,180.68966820617305,20.51566274461325
456071,231,14,48,181.18966820617305,19.607189117055658
456072,232,14,48,181.68966820617305,18.41718463669769
456073,233,14,48,182.18966820617305,20.70832498211027
456074,234,14,48,182.68966820617305,20.70436704810272
456075,235,14,48,183.18966820617305,21.45700099087332
456076,236,14,48,183.68966820617305,21.9405024766796
456077,237,14,48,184.18966820617305,20.75476496999137
456078,238,14,48,184.68966820617305,27.748101822507124
456079,239,14,48,185.18966820617305,21.048285140263967
456080,240,14,48,185.68966820617305,20.85473359436567
456081,241,14,48,186.18966820617305,16.95023369902861
456082,242,14,48,186.68966820617305,22.3029410639725
456083,243,14,48,187.18966820617305,25.488923954471165
456084,244,14,48,187.68966820617305,30.36584062599639
456085,245,14,48,188.18966820617305,33.85146882986657
456086,246,14,48,188.68966820617305,0.890099846223582
456087,247,14,48,189.18966820617305,48.74545854102849
456088,248,14,48,189.68966820617305,40.23496446176028
456089,249,14,48,190.18966820617305,6.478940878886206
456090,250,14,48,190.68966820617305,32.94026099299494
456091,251,14,48,191.18966820617305,14.590218197601343
456092,252,14,48,191.68966820617305,16.544209488331695
456093,253,14,48,192.18966820617305,21.04879093041694
456094,254,14,48,192.68966820617305,25.45251137241037
456095,255,14,48,193.18966820617305,30.624661933178214
456096,256,14,48,193.68966820617305,26.5416691749024
456097,257,14,48,194.18966820617305,23.65539472472241
456098,258,14,48,194.68966820617305,24.10766486040709
456099,259,14,48,195.18966820617305,21.452248603280047
456100,260,14,48,195.68966820617305,21.6794777499445
456101,261,14,48,196.18966820617305,21.96926611253648
456102,262,14,48,196.68966820617305,22.004469782143254
456103,263,14,48,197.18966820617305,22.3060796564631
456104,264,14,48,197.68966820617305,21.370430734268385
456105,265,14,48,198.18966820617305,23.699027681740493
456106,266,14,48,198.68966820617305,22.7493574868437
456107,267,14,48,199.18966820617305,22.168272481140804
456108,268,14,48,199.68966820617305,23.87882499216456
456109,269,14,48,200.18966820617305,20.100033751753934
456110,270,14,48,200.68966820617305,23.35208630924721
456111,271,14,48,201.18966820617305,20.80306211312279
456112,272,14,48,201.68966820617305,22.80006034711919
456113,273,14,48,202.18966820617305,22.96349407892822
456114,274,14,48,202.68966820617305,24.91590671917012
456115,275,14,48,203.18966820617305,20.87139951138072
