Date,Value
2005-01-20,422.9
2005-01-21,423.3
2005-01-24,427.35
2005-01-25,424.5
2005-01-26,425.8
2005-01-27,424.5
2005-01-28,426.8
2005-01-31,422.15
2005-02-01,420.9
2005-02-02,421.6
2005-02-03,416.5
2005-02-04,415.9
2005-02-07,414.4
2005-02-08,411.1
2005-02-09,411.15
2005-02-10,415.5
2005-02-11,418.85
2005-02-14,424.2
2005-02-15,424.4
2005-02-16,423.1
2005-02-17,426.25
2005-02-18,427.1
2005-02-21,427.15
2005-02-22,432.85
2005-02-23,432.6
2005-02-24,433.75
2005-02-25,434.25
2005-02-28,435.45
2005-03-01,433.45
2005-03-02,431.75
2005-03-03,430.2
2005-03-04,433.45
2005-03-07,433.0
2005-03-08,437.25
2005-03-09,439.5
2005-03-10,440.9
2005-03-11,443.7
2005-03-14,441.95
2005-03-15,440.65
2005-03-16,443.0
2005-03-17,438.6
2005-03-18,437.15
2005-03-21,432.7
2005-03-22,432.15
2005-03-23,426.15
2005-03-24,425.15
2005-03-25,425.15
2005-03-28,425.15
2005-03-29,426.1
2005-03-30,426.45
2005-03-31,427.5
2005-04-01,427.15
2005-04-04,423.9
2005-04-05,424.6
2005-04-06,425.75
2005-04-07,428.0
2005-04-08,425.2
2005-04-11,429.0
2005-04-12,427.3
2005-04-13,427.5
2005-04-14,423.45
2005-04-15,424.6
2005-04-18,425.75
2005-04-19,427.45
2005-04-20,433.2
2005-04-21,434.0
2005-04-22,434.6
2005-04-25,432.9
2005-04-26,437.0
2005-04-27,434.35
2005-04-28,432.5
2005-04-29,435.7
2005-05-02,435.7
2005-05-03,427.9
2005-05-04,428.8
2005-05-05,429.15
2005-05-06,425.15
2005-05-09,425.5
2005-05-10,427.4
2005-05-11,426.1
2005-05-12,424.25
2005-05-13,420.0
2005-05-16,419.25
2005-05-17,420.0
2005-05-18,419.75
2005-05-19,420.8
2005-05-20,418.0
2005-05-23,418.0
2005-05-24,418.3
2005-05-25,418.4
2005-05-26,418.0
2005-05-27,418.25
2005-05-30,418.25
2005-05-31,414.45
2005-06-01,415.35
2005-06-02,420.4
2005-06-03,423.55
2005-06-06,425.85
2005-06-07,424.1
2005-06-08,424.55
2005-06-09,422.5
2005-06-10,422.55
2005-06-13,429.1
2005-06-14,426.85
2005-06-15,428.7
2005-06-16,433.0
2005-06-17,437.5
2005-06-20,439.35
2005-06-21,435.2
2005-06-22,437.0
2005-06-23,439.15
2005-06-24,440.55
2005-06-27,439.3
2005-06-28,437.0
2005-06-29,435.8
2005-06-30,437.1
2005-07-01,432.6
2005-07-04,427.4
2005-07-05,423.75
2005-07-06,423.5
2005-07-07,425.2
2005-07-08,424.4
2005-07-11,424.2
2005-07-12,426.25
2005-07-13,424.5
2005-07-14,424.3
2005-07-15,418.35
2005-07-18,420.9
2005-07-19,419.25
2005-07-20,422.15
2005-07-21,424.25
2005-07-22,425.0
2005-07-25,425.4
2005-07-26,423.25
2005-07-27,424.0
2005-07-28,426.4
2005-07-29,429.0
2005-08-01,431.65
2005-08-02,431.0
2005-08-03,434.6
2005-08-04,438.6
2005-08-05,438.25
2005-08-08,436.2
2005-08-09,433.3
2005-08-10,436.55
2005-08-11,440.75
2005-08-12,447.25
2005-08-15,443.5
2005-08-16,443.0
2005-08-17,442.0
2005-08-18,439.65
2005-08-19,439.65
2005-08-22,439.65
2005-08-23,439.35
2005-08-24,440.0
2005-08-25,438.85
2005-08-26,436.75
2005-08-29,436.75
2005-08-30,430.65
2005-08-31,433.25
2005-09-01,439.6
2005-09-02,443.6
2005-09-05,446.05
2005-09-06,444.15
2005-09-07,445.05
2005-09-08,448.55
2005-09-09,448.25
2005-09-12,448.35
2005-09-13,445.4
2005-09-14,449.3
2005-09-15,454.8
2005-09-16,457.2
2005-09-19,464.5
2005-09-20,464.8
2005-09-21,469.1
2005-09-22,466.25
2005-09-23,462.65
2005-09-26,461.7
2005-09-27,464.1
2005-09-28,464.0
2005-09-29,472.4
2005-09-30,473.25
2005-10-03,466.1
2005-10-04,467.45
2005-10-05,463.5
2005-10-06,471.8
2005-10-07,472.7
2005-10-10,473.2
2005-10-11,475.5
2005-10-12,475.1
2005-10-13,469.5
2005-10-14,466.0
2005-10-17,474.5
2005-10-18,472.0
2005-10-19,465.9
2005-10-20,464.3
2005-10-21,462.85
2005-10-24,466.1
2005-10-25,472.25
2005-10-26,473.2
2005-10-27,474.4
2005-10-28,470.75
2005-10-31,470.75
2005-11-01,459.5
2005-11-02,460.8
2005-11-03,461.85
2005-11-04,460.5
2005-11-07,456.5
2005-11-08,461.6
2005-11-09,462.55
2005-11-10,467.0
2005-11-11,466.75
2005-11-14,467.5
2005-11-15,468.25
2005-11-16,475.75
2005-11-17,486.15
2005-11-18,485.85
2005-11-21,488.95
2005-11-22,492.6
2005-11-23,487.6
2005-11-24,493.4
2005-11-25,495.9
2005-11-28,496.0
2005-11-29,496.0
2005-11-30,495.65
2005-12-01,499.75
2005-12-02,502.5
2005-12-05,505.65
2005-12-06,504.25
2005-12-07,515.4
2005-12-08,515.7
2005-12-09,525.5
2005-12-12,536.5
2005-12-13,522.5
2005-12-14,509.5
2005-12-15,506.25
2005-12-16,507.0
2005-12-19,508.75
2005-12-20,502.5
2005-12-21,489.0
2005-12-22,500.0
2005-12-23,500.0
2005-12-26,500.0
2005-12-27,500.0
2005-12-28,518.0
2005-12-29,513.0
2005-12-30,513.0
2006-01-02,513.0
2006-01-03,530.0
2006-01-04,529.5
2006-01-05,524.75
2006-01-06,535.25
2006-01-09,541.5
2006-01-10,543.5
2006-01-11,544.4
2006-01-12,542.5
2006-01-13,548.25
2006-01-16,561.75
2006-01-17,553.25
2006-01-18,545.0
2006-01-19,554.75
2006-01-20,567.25
2006-01-23,554.5
2006-01-24,557.25
2006-01-25,561.75
2006-01-26,556.5
2006-01-27,561.75
2006-01-30,565.0
2006-01-31,568.75
2006-02-01,568.25
2006-02-02,572.15
2006-02-03,569.0
2006-02-06,569.75
2006-02-07,558.7
2006-02-08,548.75
2006-02-09,560.25
2006-02-10,557.0
2006-02-13,549.3
2006-02-14,539.7
2006-02-15,540.5
2006-02-16,538.75
2006-02-17,551.7
2006-02-20,554.5
2006-02-21,554.0
2006-02-22,553.0
2006-02-23,551.2
2006-02-24,554.15
2006-02-27,553.25
2006-02-28,556.0
2006-03-01,564.25
2006-03-02,563.75
2006-03-03,565.0
2006-03-06,565.25
2006-03-07,553.0
2006-03-08,544.75
2006-03-09,550.1
2006-03-10,535.0
2006-03-13,543.5
2006-03-14,545.8
2006-03-15,556.5
