Date,Value
1997-09-05,321.25
1997-09-08,321.5
1997-09-09,321.7
1997-09-10,320.8
1997-09-11,321.65
1997-09-12,323.35
1997-09-15,322.3
1997-09-16,321.0
1997-09-17,320.45
1997-09-18,320.85
1997-09-19,322.05
1997-09-22,320.85
1997-09-23,320.9
1997-09-24,322.7
1997-09-25,324.6
1997-09-26,326.65
1997-09-29,327.1
1997-09-30,332.1
1997-10-01,337.15
1997-10-02,333.35
1997-10-03,331.7
1997-10-06,332.5
1997-10-07,331.95
1997-10-08,332.6
1997-10-09,333.4
1997-10-10,328.9
1997-10-13,328.2
1997-10-14,327.75
1997-10-15,326.5
1997-10-16,327.35
1997-10-17,324.3
1997-10-20,323.9
1997-10-21,323.3
1997-10-22,322.45
1997-10-23,324.3
1997-10-24,316.65
1997-10-27,311.8
1997-10-28,312.35
1997-10-29,313.5
1997-10-30,316.75
1997-10-31,311.4
1997-11-03,313.8
1997-11-04,315.35
1997-11-05,313.5
1997-11-06,312.05
1997-11-07,308.7
1997-11-10,310.75
1997-11-11,312.65
1997-11-12,308.15
1997-11-13,308.15
1997-11-14,301.75
1997-11-17,303.75
1997-11-18,304.1
1997-11-19,305.95
1997-11-20,302.7
1997-11-21,303.9
1997-11-24,305.0
1997-11-25,300.7
1997-11-26,297.0
1997-11-27,296.0
1997-11-28,296.8
1997-12-01,294.35
1997-12-02,295.1
1997-12-03,293.0
1997-12-04,289.35
1997-12-05,287.4
1997-12-08,287.5
1997-12-09,283.25
1997-12-10,286.3
1997-12-11,284.8
1997-12-12,283.0
1997-12-15,283.6
1997-12-16,285.5
1997-12-17,287.85
1997-12-18,290.0
1997-12-19,288.9
1997-12-22,290.45
1997-12-23,292.5
1997-12-24,292.5
1997-12-25,292.5
1997-12-26,292.5
1997-12-29,293.05
1997-12-30,290.2
1997-12-31,290.2
1998-01-01,290.2
1998-01-02,288.0
1998-01-05,284.4
1998-01-06,282.8
1998-01-07,281.6
1998-01-08,281.65
1998-01-09,278.7
1998-01-12,278.9
1998-01-13,279.5
1998-01-14,282.5
1998-01-15,282.5
1998-01-16,290.0
1998-01-19,287.25
1998-01-20,288.4
1998-01-21,291.0
1998-01-22,293.8
1998-01-23,291.0
1998-01-26,302.75
1998-01-27,298.9
1998-01-28,300.0
1998-01-29,302.5
1998-01-30,304.85
1998-02-02,301.5
1998-02-03,298.35
1998-02-04,298.15
1998-02-05,298.5
1998-02-06,299.1
1998-02-09,300.6
1998-02-10,299.5
1998-02-11,298.45
1998-02-12,299.45
1998-02-13,299.15
1998-02-16,298.2
1998-02-17,299.3
1998-02-18,298.15
1998-02-19,298.0
1998-02-20,296.7
1998-02-23,292.7
1998-02-24,291.4
1998-02-25,292.25
1998-02-26,293.0
1998-02-27,297.4
1998-03-02,298.35
1998-03-03,297.0
1998-03-04,296.75
1998-03-05,293.7
1998-03-06,294.9
1998-03-09,293.85
1998-03-10,294.4
1998-03-11,294.1
1998-03-12,293.85
1998-03-13,294.55
1998-03-16,294.2
1998-03-17,293.8
1998-03-18,290.4
1998-03-19,291.5
1998-03-20,292.4
1998-03-23,293.0
1998-03-24,300.3
1998-03-25,299.25
1998-03-26,299.6
1998-03-27,301.95
1998-03-30,301.85
1998-03-31,301.0
1998-04-01,301.0
1998-04-02,300.3
1998-04-03,306.0
1998-04-06,310.6
1998-04-07,309.2
1998-04-08,308.8
1998-04-09,307.65
1998-04-10,307.65
1998-04-13,307.65
1998-04-14,309.5
1998-04-15,307.2
1998-04-16,306.3
1998-04-17,308.45
1998-04-20,307.45
1998-04-21,307.5
1998-04-22,312.8
1998-04-23,312.75
1998-04-24,313.15
1998-04-27,309.65
1998-04-28,308.45
1998-04-29,308.25
1998-04-30,310.7
1998-05-01,306.9
1998-05-04,306.9
1998-05-05,303.8
1998-05-06,301.0
1998-05-07,298.1
1998-05-08,300.4
1998-05-11,298.9
1998-05-12,299.35
1998-05-13,299.1
1998-05-14,296.15
1998-05-15,300.9
1998-05-18,300.3
1998-05-19,299.7
1998-05-20,299.6
1998-05-21,300.6
1998-05-22,299.8
1998-05-25,299.8
1998-05-26,297.95
1998-05-27,292.75
1998-05-28,294.0
1998-05-29,293.6
1998-06-01,288.75
1998-06-02,291.45
1998-06-03,292.4
1998-06-04,292.8
1998-06-05,290.7
