x,y,item,store
2018-10-14,70.74709774617652,13,22
2018-10-21,50.872401866305545,13,22
2018-10-28,68.08288214657486,13,22
2018-11-04,55.29433003155947,13,22
2018-11-11,60.15907105712898,13,22
2018-11-18,52.49029528467566,13,22
2018-11-25,55.78684553675672,13,22
2018-12-02,55.44770726872272,13,22
2018-12-09,70.1105501683963,13,22
2018-12-16,52.172906270164205,13,22
2018-12-23,66.27422978609432,13,22
2018-12-30,57.171392794286895,13,22
2019-01-06,67.54372738119253,13,22
2019-01-13,51.71569060958853,13,22
2019-01-20,50.22791497304787,13,22
2019-01-27,66.24414424672116,13,22
2019-02-03,51.20017920827576,13,22
2019-02-10,62.93424605657469,13,22
2019-02-17,52.760156380827866,13,22
2019-02-24,59.84663977032291,13,22
2019-03-03,62.18551474061404,13,22
2019-03-10,54.12092472305321,13,22
2019-03-17,62.34238813552088,13,22
2019-03-24,77.48283460193936,13,22
2019-03-31,55.12123599622896,13,22
2019-04-07,51.98482283675955,13,22
2019-04-14,53.2439425851785,13,22
2019-04-21,60.57929298324154,13,22
2019-04-28,57.001777776857374,13,22
2019-05-05,77.31069003195809,13,22
2019-05-12,74.04381758470473,13,22
2019-05-19,60.00617668205497,13,22
2019-05-26,74.888961157776,13,22
2019-06-02,55.01097106679933,13,22
2019-06-09,75.05568372931499,13,22
2019-06-16,76.92327796936718,13,22
2019-06-23,67.51537485816564,13,22
2019-06-30,55.39581440138451,13,22
2019-07-07,73.19859175885827,13,22
2019-07-14,58.37461934460937,13,22
2019-07-21,55.99600855860929,13,22
2019-07-28,60.818105009770285,13,22
2019-08-04,54.87811032854557,13,22
2019-08-11,50.94516958477983,13,22
2019-08-18,62.99868320666319,13,22
2019-08-25,69.38488456811582,13,22
2019-09-01,70.55005506710039,13,22
2019-09-08,62.96883026165428,13,22
2019-09-15,71.95247746621006,13,22
2019-09-22,60.51345255974067,13,22
2019-09-29,54.950881408082736,13,22
2019-10-06,65.91131454821935,13,22
2019-10-13,58.26249063065257,13,22
2019-10-20,54.23526651204312,13,22
2019-10-27,59.113852361206526,13,22
2019-11-03,81.17697753449326,13,22
2019-11-10,63.06441183741315,13,22
2019-11-17,60.07222405193832,13,22
2019-11-24,59.06224437431749,13,22
2019-12-01,64.70590294510248,13,22
2019-12-08,72.77283396442608,13,22
2019-12-15,55.21404603600497,13,22
2019-12-22,61.17540627421194,13,22
2019-12-29,56.63149191951903,13,22
2020-01-05,82.11067044383364,13,22
2020-01-12,65.3980692989665,13,22
2020-01-19,61.757594563079046,13,22
2020-01-26,64.17299375342883,13,22
2020-02-02,63.42207902241386,13,22
2020-02-09,57.00605654272303,13,22
2020-02-16,77.6253911494961,13,22
2020-02-23,64.49383210590325,13,22
2020-03-01,64.60465019633982,13,22
2020-03-08,51.746723989329496,13,22
2020-03-15,59.6744502927641,13,22
2020-03-22,64.27705611317214,13,22
2020-03-29,63.89349471114778,13,22
2020-04-05,58.74918069083308,13,22
2020-04-12,67.62797733681751,13,22
2020-04-19,63.88404693961165,13,22
2020-04-26,61.37747150031581,13,22
2020-05-03,68.7992111123683,13,22
2020-05-10,59.5370012125214,13,22
2020-05-17,58.72659058015592,13,22
2020-05-24,59.69858030255302,13,22
2020-05-31,62.72216494923279,13,22
2020-06-07,67.0917057851433,13,22
2020-06-14,63.42767385073962,13,22
2020-06-21,56.13732982615598,13,22
2020-06-28,57.22197472629778,13,22
2016-04-17,16.944593704488113,13,23
2016-04-24,90.83045325671968,13,23
2016-05-01,46.14901895880785,13,23
2016-05-08,46.08070887470541,13,23
2016-05-15,8.081465416800983,13,23
2016-05-22,40.74454005432217,13,23
2016-05-29,22.10837179705883,13,23
2016-06-05,17.292244526542483,13,23
2016-06-12,24.751694979512365,13,23
2016-06-19,34.27063826073495,13,23
2016-06-26,47.72049024663917,13,23
2016-07-03,35.9335186850667,13,23
2016-07-10,30.200269482207467,13,23
2016-07-17,28.210029284628227,13,23
2016-07-24,46.90739905195322,13,23
2016-07-31,31.518944109478504,13,23
2016-08-07,22.767688157383034,13,23
2016-08-14,22.91607595022854,13,23
2016-08-21,85.58800703472129,13,23
2016-08-28,101.64944452036734,13,23
2016-09-04,68.51474706105458,13,23
2016-09-11,15.279727293562022,13,23
2016-09-18,10.021447976775738,13,23
2016-09-25,20.099005482162035,13,23
2016-10-02,25.48532650429469,13,23
2016-10-09,28.58050591900411,13,23
2016-10-16,31.033077989857333,13,23
2016-10-23,82.04689121583965,13,23
2016-10-30,35.2858487049612,13,23
