Date,Value
2004-05-31,393.25
2004-06-01,397.2
2004-06-02,394.85
2004-06-03,390.35
2004-06-04,388.3
2004-06-07,393.6
2004-06-08,392.35
2004-06-09,386.85
2004-06-10,384.95
2004-06-11,384.85
2004-06-14,385.1
2004-06-15,386.5
2004-06-16,385.25
2004-06-17,386.1
2004-06-18,395.1
2004-06-21,395.25
2004-06-22,395.75
2004-06-23,393.9
2004-06-24,400.0
2004-06-25,401.5
2004-06-28,404.25
2004-06-29,394.4
2004-06-30,395.8
2004-07-01,394.8
2004-07-02,397.75
2004-07-05,398.25
2004-07-06,394.5
2004-07-07,399.65
2004-07-08,405.35
2004-07-09,406.5
2004-07-12,406.35
2004-07-13,400.9
2004-07-14,403.8
2004-07-15,403.15
2004-07-16,406.3
2004-07-19,406.35
2004-07-20,400.0
2004-07-21,398.5
2004-07-22,397.75
2004-07-23,391.5
2004-07-26,390.75
2004-07-27,389.85
2004-07-28,387.3
2004-07-29,387.3
2004-07-30,391.4
2004-08-02,391.5
2004-08-03,390.95
2004-08-04,391.5
2004-08-05,390.85
2004-08-06,399.0
2004-08-09,399.0
2004-08-10,399.5
2004-08-11,393.85
2004-08-12,394.15
2004-08-13,396.75
2004-08-16,401.65
2004-08-17,401.3
2004-08-18,402.45
2004-08-19,406.5
2004-08-20,410.55
2004-08-23,410.6
2004-08-24,406.2
2004-08-25,406.0
2004-08-26,406.05
2004-08-27,405.1
2004-08-30,405.1
2004-08-31,407.25
2004-09-01,407.65
2004-09-02,406.1
2004-09-03,401.15
2004-09-06,401.6
2004-09-07,398.1
2004-09-08,396.3
2004-09-09,398.7
2004-09-10,401.35
2004-09-13,399.3
2004-09-14,405.25
2004-09-15,404.45
2004-09-16,403.4
2004-09-17,405.7
2004-09-20,404.3
2004-09-21,408.5
2004-09-22,405.35
2004-09-23,411.5
2004-09-24,407.85
2004-09-27,409.2
2004-09-28,411.7
2004-09-29,412.95
2004-09-30,415.65
2004-10-01,418.1
2004-10-04,412.55
2004-10-05,415.4
2004-10-06,418.45
2004-10-07,418.1
2004-10-08,421.75
2004-10-11,421.7
2004-10-12,414.7
2004-10-13,411.25
2004-10-14,415.35
2004-10-15,420.4
2004-10-18,419.1
2004-10-19,419.35
2004-10-20,423.6
2004-10-21,422.5
2004-10-22,422.8
2004-10-25,429.15
2004-10-26,427.5
2004-10-27,428.25
2004-10-28,424.2
2004-10-29,425.55
2004-11-01,428.85
2004-11-02,424.2
2004-11-03,423.5
2004-11-04,430.5
2004-11-05,431.0
2004-11-08,431.9
2004-11-09,433.65
2004-11-10,433.4
2004-11-11,433.8
2004-11-12,436.05
2004-11-15,437.6
2004-11-16,439.4
2004-11-17,443.45
2004-11-18,442.0
2004-11-19,445.6
2004-11-22,447.8
2004-11-23,448.15
2004-11-24,448.6
2004-11-25,451.15
2004-11-26,451.0
2004-11-29,451.25
2004-11-30,453.4
2004-12-01,452.85
2004-12-02,454.2
2004-12-03,448.65
2004-12-06,453.05
2004-12-07,451.8
2004-12-08,436.9
2004-12-09,437.1
2004-12-10,434.0
2004-12-13,435.1
2004-12-14,437.1
2004-12-15,439.0
2004-12-16,439.5
2004-12-17,438.9
2004-12-20,442.45
2004-12-21,440.95
2004-12-22,441.0
2004-12-23,441.1
2004-12-24,441.1
2004-12-27,441.1
2004-12-28,441.1
2004-12-29,440.25
2004-12-30,435.6
2004-12-31,435.6
2005-01-03,435.6
2005-01-04,427.75
2005-01-05,426.0
2005-01-06,424.35
2005-01-07,422.2
2005-01-10,420.0
2005-01-11,421.35
2005-01-12,426.6
2005-01-13,423.6
2005-01-14,422.5
2005-01-17,422.25
2005-01-18,421.75
2005-01-19,424.95
2005-01-20,422.9
2005-01-21,423.3
2005-01-24,427.35
2005-01-25,424.5
2005-01-26,425.8
2005-01-27,424.5
2005-01-28,426.8
2005-01-31,422.15
2005-02-01,420.9
2005-02-02,421.6
2005-02-03,416.5
2005-02-04,415.9
2005-02-07,414.4
2005-02-08,411.1
2005-02-09,411.15
